Episode,Dataset File,Folder,Predicted Algorithm,Actual Best,Execution Time,Best Execution Time
0,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_10000.txt,Data_set_0-63,Bubble Sort,Quick Sort,2.484821081161499,0.0027849674224853516
1,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_110000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.02684164047241211,0.02684164047241211
2,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_20000.txt,Data_set_0-63,Bubble Sort,Quick Sort,9.73533296585083,0.005075931549072266
3,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_140000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.03840494155883789,0.03840494155883789
4,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_140000.txt,Data_set_0-1000,Merge Sort,Quick Sort,0.2237398624420166,0.06024599075317383
5,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_70000.txt,Data_set_0-1000,Merge Sort,Quick Sort,0.10670089721679688,0.034216880798339844
6,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_100000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.04378008842468262,0.04378008842468262
7,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_120000.txt,Data_set_0-1000,Merge Sort,Quick Sort,0.18693304061889648,0.052941083908081055
8,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_110000.txt,Data_set_0-1000,Merge Sort,Quick Sort,0.17876410484313965,0.049031972885131836
9,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_150000.txt,Data_set_0-63,Merge Sort,Quick Sort,0.2395620346069336,0.035772085189819336
10,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_50000.txt,Data_set_0-63,Merge Sort,Quick Sort,0.0727391242980957,0.014055252075195312
11,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_50000.txt,Data_set_0-1000,Merge Sort,Quick Sort,0.07346773147583008,0.021915912628173828
12,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_130000.txt,Data_set_0-63,Bubble Sort,Quick Sort,419.92388916015625,0.030045032501220703
13,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_100000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.02591705322265625,0.02591705322265625
14,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_120000.txt,Data_set_0-63,Bubble Sort,Quick Sort,354.2850103378296,0.032015085220336914
15,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_60000.txt,Data_set_0-1000,Bubble Sort,Quick Sort,92.06835794448853,0.027067899703979492
16,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_80000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.019796133041381836,0.019796133041381836
17,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_80000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.04016590118408203,0.04016590118408203
18,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_20000.txt,Data_set_0-1000,Merge Sort,Quick Sort,0.02849578857421875,0.010195016860961914
19,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_60000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.014745712280273438,0.014745712280273438
20,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_70000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.019772052764892578,0.019772052764892578
21,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_30000.txt,Data_set_0-63,Merge Sort,Quick Sort,0.041337013244628906,0.007806062698364258
22,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_90000.txt,Data_set_0-63,Bubble Sort,Quick Sort,200.76387405395508,0.022698163986206055
23,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_40000.txt,Data_set_0-1000,Bubble Sort,Quick Sort,42.00765609741211,0.01880812644958496
24,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_110000.txt,Data_set_0-1000,Bubble Sort,Quick Sort,314.8876030445099,0.049031972885131836
25,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_100000.txt,Data_set_0-63,Quick Sort,Quick Sort,0.02591705322265625,0.02591705322265625
26,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_60000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.027067899703979492,0.027067899703979492
27,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_10000.txt,Data_set_0-63,Merge Sort,Quick Sort,0.012701988220214844,0.0027849674224853516
28,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_70000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.034216880798339844,0.034216880798339844
29,/Users/ahmed/Desktop/project/Data_set_0-63/data_set_30000.txt,Data_set_0-63,Bubble Sort,Quick Sort,22.213671922683716,0.007806062698364258
30,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_100000.txt,Data_set_0-1000,Bubble Sort,Quick Sort,259.5532281398773,0.04378008842468262
31,/Users/ahmed/Desktop/project/Data_set_0-1000/data_set_40000.txt,Data_set_0-1000,Quick Sort,Quick Sort,0.01880812644958496,0.01880812644958496
